artist,album_title,album_cover,year_released,billboard_200_position,uk_top_40_position
The Rolling Stones,Rolled Gold: The Very Best of the Rolling Stones,https://i.discogs.com/ghXbA1gKVTtS9RWIEo-ETxVk-B0Oufu_z4JS9vo_t88/rs:fit/g:sm/q:90/h:498/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYzMzEz/OS0xMzU5NTkzNzQ3/LTI2NjEuanBlZw.jpeg,1975,0,7
The Rolling Stones,Black and Blue,https://cdn.hmv.com/r/w-1280/hmv/files/97/97dad4d0-87a1-4093-aec0-043da5fae6e5.jpg,1976,2,1
The Rolling Stones,Love You Live,https://i.discogs.com/4GERVNPf68Js-R1Kuc6LjmfsUuhqdEbNHPSUFbjAsPE/rs:fit/g:sm/q:90/h:590/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc3MzI2/Mi0xNDM2NzE2MDUx/LTI3MDMuanBlZw.jpeg,1977,5,3
The Rolling Stones,Get Stoned (30 Greatest Hits),https://i.discogs.com/4SCHpjuF6hMjv20SEqnDgiYNDrH81E9Y1F5ARQAEkBY/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQxODA4/MzAtMTUxNjMxNDg4/My0yNDExLmpwZWc.jpeg,1977,0,8
The Rolling Stones,Some Girls,https://cdn.hmv.com/r/w-1280/hmv/files/32/32e9f55c-66ed-4978-8d44-1d79070132ef.jpg,1978,2,1
The Rolling Stones,Time Waits for No One: Anthology 1971–1977,https://i.discogs.com/yuqTQL73_ZyMbLXpb5RXIj48hcOa6jeF9DGeziI497k/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ4MDM5/NTQtMTUyNDAyNTU4/OC00OTIyLmpwZWc.jpeg,1979,0,0
The Rolling Stones,Emotional Rescue,https://cdn.hmv.com/r/w-1280/hmv/files/cc/cc551882-20dd-43f4-8f38-cf559e7dcaef.jpg,1980,1,1
The Rolling Stones,Solid Rock,https://i.discogs.com/Tew3g6VuykfGf9slNRALd0kzgxqlc9huO7IesvVpI3U/rs:fit/g:sm/q:90/h:467/w:450/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3Mjg3/MTItMTI5MDExNzIy/Ny5qcGVn.jpeg,1980,0,0
The Rolling Stones,Tattoo You,https://cdn.hmv.com/r/w-1280/hmv/files/05/0513d2d8-aa77-46b0-9d13-85b3b6767f12.jpg,1981,2,1
The Rolling Stones,Sucking in the Seventies,https://i.discogs.com/Mp5TM30ADLYHwifPjCMxfD92ZUmbWAkUysRVik33seM/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4NDI3/OTAtMTU1Nzc2Nzg5/Mi00MjE3LmpwZWc.jpeg,1981,15,0
The Rolling Stones,Slow Rollers,https://i.discogs.com/vkTcTX4QUxhqs8xusFY9UjnkAqKa1-1IdgOqhjS2mwM/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1MTMx/MjYtMTY3OTA3MTYy/Ni03Nzk4LmpwZWc.jpeg,1981,0,0
The Rolling Stones,Still Life,https://ecx.images-amazon.com/images/I/613fffzhGuL._SL500_.jpg,1982,5,4
